frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
0,phase_2,,12,block3_phase_2_t12,0.0,689.039347,728.893946,iti_onset_dur_1.354,
1,phase_2,,12,block3_phase_2_t12,0.016316,689.056848,728.910262,,
2,phase_2,,12,block3_phase_2_t12,0.033498,689.073614,728.927444,,
3,phase_2,,12,block3_phase_2_t12,0.050269,689.089922,728.944215,,
4,phase_2,,12,block3_phase_2_t12,0.066773,689.106215,728.960719,,
5,phase_2,,12,block3_phase_2_t12,0.083915,689.123569,728.977861,,
6,phase_2,,12,block3_phase_2_t12,0.099537,689.13901,728.993483,,
7,phase_2,,12,block3_phase_2_t12,0.116049,689.155563,729.009995,,
8,phase_2,,12,block3_phase_2_t12,0.132726,689.172235,729.026672,,
9,phase_2,,12,block3_phase_2_t12,0.149324,689.188767,729.04327,,
10,phase_2,,12,block3_phase_2_t12,0.166822,689.206345,729.060768,,
11,phase_2,,12,block3_phase_2_t12,0.183558,689.223409,729.077504,,
12,phase_2,,12,block3_phase_2_t12,0.19961,689.238928,729.093556,,
13,phase_2,,12,block3_phase_2_t12,0.216224,689.255532,729.11017,,
14,phase_2,,12,block3_phase_2_t12,0.233372,689.2728,729.127318,,
15,phase_2,,12,block3_phase_2_t12,0.250717,689.290367,729.144663,,
16,phase_2,,12,block3_phase_2_t12,0.266912,689.306416,729.160858,,
17,phase_2,,12,block3_phase_2_t12,0.283671,689.323163,729.177617,,
18,phase_2,,12,block3_phase_2_t12,0.300735,689.340744,729.194681,,
19,phase_2,,12,block3_phase_2_t12,0.317041,689.356567,729.210987,,
20,phase_2,,12,block3_phase_2_t12,0.333841,689.3738,729.227787,,
21,phase_2,,12,block3_phase_2_t12,0.350324,689.389894,729.24427,,
22,phase_2,,12,block3_phase_2_t12,0.366919,689.406476,729.260865,,
23,phase_2,,12,block3_phase_2_t12,0.383762,689.423228,729.277708,,
24,phase_2,,12,block3_phase_2_t12,0.400593,689.440113,729.294539,,
25,phase_2,,12,block3_phase_2_t12,0.41718,689.456691,729.311126,,
26,phase_2,,12,block3_phase_2_t12,0.433887,689.473688,729.327833,,
27,phase_2,,12,block3_phase_2_t12,0.449592,689.489033,729.343538,,
28,phase_2,,12,block3_phase_2_t12,0.466211,689.505577,729.360157,,
29,phase_2,,12,block3_phase_2_t12,0.482873,689.52226,729.376819,,
30,phase_2,,12,block3_phase_2_t12,0.499537,689.538976,729.393483,,
31,phase_2,,12,block3_phase_2_t12,0.516247,689.555563,729.410193,,
32,phase_2,,12,block3_phase_2_t12,0.532715,689.57207,729.426661,,
33,phase_2,,12,block3_phase_2_t12,0.549328,689.588648,729.443274,,
34,phase_2,,12,block3_phase_2_t12,0.566107,689.605424,729.460053,,
35,phase_2,,12,block3_phase_2_t12,0.582763,689.622117,729.476709,,
36,phase_2,,12,block3_phase_2_t12,0.599346,689.638675,729.493292,,
37,phase_2,,12,block3_phase_2_t12,0.616012,689.65536,729.509958,,
38,phase_2,,12,block3_phase_2_t12,0.632676,689.672033,729.526621,,
39,phase_2,,12,block3_phase_2_t12,0.64936,689.688678,729.543306,,
40,phase_2,,12,block3_phase_2_t12,0.666096,689.705429,729.560042,,
41,phase_2,,12,block3_phase_2_t12,0.682873,689.722218,729.576819,,
42,phase_2,,12,block3_phase_2_t12,0.699387,689.738709,729.593333,,
43,phase_2,,12,block3_phase_2_t12,0.716105,689.75574,729.610051,,
44,phase_2,,12,block3_phase_2_t12,0.732832,689.772142,729.626777,,
45,phase_2,,12,block3_phase_2_t12,0.749632,689.78902,729.643578,,
46,phase_2,,12,block3_phase_2_t12,0.766927,689.806404,729.660873,,
47,phase_2,,12,block3_phase_2_t12,0.785366,689.824685,729.679312,,
48,phase_2,,12,block3_phase_2_t12,0.799751,689.839139,729.693697,,
49,phase_2,,12,block3_phase_2_t12,0.816833,689.856366,729.710779,,
50,phase_2,,12,block3_phase_2_t12,0.83351,689.873284,729.727456,,
51,phase_2,,12,block3_phase_2_t12,0.850179,689.889593,729.744125,,
52,phase_2,,12,block3_phase_2_t12,0.867169,689.906866,729.761115,,
53,phase_2,,12,block3_phase_2_t12,0.883725,689.923324,729.777671,,
54,phase_2,,12,block3_phase_2_t12,0.900112,689.939655,729.794058,,
55,phase_2,,12,block3_phase_2_t12,0.91675,689.956644,729.810696,,
56,phase_2,,12,block3_phase_2_t12,0.93337,689.972905,729.827316,,
57,phase_2,,12,block3_phase_2_t12,0.950514,689.990001,729.84446,,
58,phase_2,,12,block3_phase_2_t12,0.967533,690.006999,729.861479,,
59,phase_2,,12,block3_phase_2_t12,0.983574,690.023021,729.87752,,
60,phase_2,,12,block3_phase_2_t12,0.999665,690.039075,729.893611,,
61,phase_2,,12,block3_phase_2_t12,1.016371,690.05585,729.910317,,
62,phase_2,,12,block3_phase_2_t12,1.032995,690.072504,729.926941,,
63,phase_2,,12,block3_phase_2_t12,1.050215,690.089716,729.944161,,
64,phase_2,,12,block3_phase_2_t12,1.066953,690.10641,729.960899,,
65,phase_2,,12,block3_phase_2_t12,1.083831,690.123349,729.977777,,
66,phase_2,,12,block3_phase_2_t12,1.099546,690.139138,729.993491,,
67,phase_2,,12,block3_phase_2_t12,1.116042,690.155399,730.009988,,
68,phase_2,,12,block3_phase_2_t12,1.132858,690.17228,730.026804,,
69,phase_2,,12,block3_phase_2_t12,1.149211,690.188521,730.043157,,
70,phase_2,,12,block3_phase_2_t12,1.166763,690.206192,730.060708,,
71,phase_2,,12,block3_phase_2_t12,1.183876,690.223784,730.077822,,
72,phase_2,,12,block3_phase_2_t12,1.200341,690.239797,730.094287,,
73,phase_2,,12,block3_phase_2_t12,1.217072,690.256517,730.111018,,
74,phase_2,,12,block3_phase_2_t12,1.233563,690.273257,730.127509,,
75,phase_2,,12,block3_phase_2_t12,1.250365,690.28979,730.144311,,
76,phase_2,,12,block3_phase_2_t12,1.266879,690.306289,730.160825,,
77,phase_2,,12,block3_phase_2_t12,1.283532,690.323294,730.177477,,
78,phase_2,,12,block3_phase_2_t12,1.299782,690.339261,730.193728,,
79,phase_2,,12,block3_phase_2_t12,1.316401,690.355874,730.210347,,
80,phase_2,,12,block3_phase_2_t12,1.332641,690.372041,730.226587,,
81,phase_2,,12,block3_phase_2_t12,1.350433,690.389861,730.244379,,
0,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.0,690.408547,730.262614,DOMAIN_ONSET_onset,
1,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.014715,690.422981,730.277329,,
2,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.031456,690.439669,730.29407,,
3,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.048171,690.45626,730.310785,,
4,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.065747,690.474338,730.328361,,
5,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.081259,690.489321,730.343873,,
6,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.098142,690.506301,730.360756,,
7,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.114516,690.522698,730.37713,,
8,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.13083,690.539043,730.393444,,
9,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.147729,690.555919,730.410342,,
10,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.164041,690.572125,730.426655,,
11,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.180838,690.588913,730.443451,,
12,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.197474,690.605513,730.460087,,
13,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.214109,690.622226,730.476723,,
14,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.230772,690.639092,730.493386,,
15,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.248064,690.656276,730.510678,,
16,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.265082,690.673491,730.527696,,
17,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.28204,690.690165,730.544653,,
18,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.298564,690.706864,730.561178,,
19,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.315046,690.723318,730.57766,,
20,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.331565,690.739789,730.594178,,
21,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.348451,690.756741,730.611065,,
22,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.36514,690.773385,730.627753,,
23,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.381679,690.789932,730.644292,,
24,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.398369,690.806794,730.660983,,
25,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.415148,690.823364,730.677762,,
26,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.431847,690.840227,730.694461,,
27,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.448323,690.856655,730.710936,,
28,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.465164,690.873546,730.727777,,
29,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.481427,690.889633,730.744041,,
30,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.498317,690.906452,730.760931,,
31,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.515375,690.923834,730.777989,,
32,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.531695,690.93986,730.794308,,
33,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.547684,690.955758,730.810298,,
34,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.563903,690.972074,730.826517,,
35,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.580673,690.988694,730.843286,,
36,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.597422,691.005486,730.860036,,
37,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.614147,691.022815,730.87676,,
38,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.630716,691.038851,730.893329,,
39,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.647341,691.055413,730.909955,,
40,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.663904,691.072029,730.926517,,
41,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.680582,691.088621,730.943195,,
42,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.697199,691.105209,730.959813,,
43,phase_2,DOMAIN_ONSET,12,block3_phase_2_t12,0.713777,691.121785,730.976391,,
0,phase_2,CHOICE1,12,block3_phase_2_t12,0.0,691.139315,730.993316,CHOICE1_onset,
1,phase_2,CHOICE1,12,block3_phase_2_t12,0.016422,691.155188,731.009738,,
2,phase_2,CHOICE1,12,block3_phase_2_t12,0.033091,691.171772,731.026407,,
3,phase_2,CHOICE1,12,block3_phase_2_t12,0.051374,691.190153,731.04469,,
4,phase_2,CHOICE1,12,block3_phase_2_t12,0.066732,691.205519,731.060048,,
5,phase_2,CHOICE1,12,block3_phase_2_t12,0.083368,691.22211,731.076684,,
6,phase_2,CHOICE1,12,block3_phase_2_t12,0.100064,691.238806,731.09338,,
7,phase_2,CHOICE1,12,block3_phase_2_t12,0.116779,691.255616,731.110095,,
8,phase_2,CHOICE1,12,block3_phase_2_t12,0.133227,691.271935,731.126543,,
9,phase_2,CHOICE1,12,block3_phase_2_t12,0.149736,691.288476,731.143052,,
10,phase_2,CHOICE1,12,block3_phase_2_t12,0.167175,691.306845,731.16049,,
11,phase_2,CHOICE1,12,block3_phase_2_t12,0.183699,691.322508,731.177015,,
12,phase_2,CHOICE1,12,block3_phase_2_t12,0.199973,691.338671,731.193289,,
13,phase_2,CHOICE1,12,block3_phase_2_t12,0.216589,691.355699,731.209905,,
