frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
0,phase_2,,11,block5_phase_2_t11,0.0,1007.328897,1047.18339,iti_onset_dur_1.072,
1,phase_2,,11,block5_phase_2_t11,0.017724,1007.346558,1047.201114,,
2,phase_2,,11,block5_phase_2_t11,0.033145,1007.361925,1047.216535,,
3,phase_2,,11,block5_phase_2_t11,0.04997,1007.378954,1047.23336,,
4,phase_2,,11,block5_phase_2_t11,0.066419,1007.395205,1047.249809,,
5,phase_2,,11,block5_phase_2_t11,0.083154,1007.41203,1047.266543,,
6,phase_2,,11,block5_phase_2_t11,0.099881,1007.428684,1047.283271,,
7,phase_2,,11,block5_phase_2_t11,0.116291,1007.445198,1047.299681,,
8,phase_2,,11,block5_phase_2_t11,0.133042,1007.461982,1047.316431,,
9,phase_2,,11,block5_phase_2_t11,0.149826,1007.478752,1047.333216,,
10,phase_2,,11,block5_phase_2_t11,0.166566,1007.495385,1047.349955,,
11,phase_2,,11,block5_phase_2_t11,0.183131,1007.512251,1047.366521,,
12,phase_2,,11,block5_phase_2_t11,0.199792,1007.528622,1047.383182,,
13,phase_2,,11,block5_phase_2_t11,0.216386,1007.545299,1047.399776,,
14,phase_2,,11,block5_phase_2_t11,0.23308,1007.56187,1047.416469,,
15,phase_2,,11,block5_phase_2_t11,0.249916,1007.578944,1047.433306,,
16,phase_2,,11,block5_phase_2_t11,0.266308,1007.595338,1047.449698,,
17,phase_2,,11,block5_phase_2_t11,0.282962,1007.611784,1047.466352,,
18,phase_2,,11,block5_phase_2_t11,0.299656,1007.628447,1047.483045,,
19,phase_2,,11,block5_phase_2_t11,0.316242,1007.644995,1047.499631,,
20,phase_2,,11,block5_phase_2_t11,0.333125,1007.662109,1047.516515,,
21,phase_2,,11,block5_phase_2_t11,0.349987,1007.679053,1047.533377,,
22,phase_2,,11,block5_phase_2_t11,0.366861,1007.695884,1047.550251,,
23,phase_2,,11,block5_phase_2_t11,0.383318,1007.712462,1047.566707,,
24,phase_2,,11,block5_phase_2_t11,0.399796,1007.728679,1047.583186,,
25,phase_2,,11,block5_phase_2_t11,0.416289,1007.745089,1047.599679,,
26,phase_2,,11,block5_phase_2_t11,0.433489,1007.762596,1047.616878,,
27,phase_2,,11,block5_phase_2_t11,0.449968,1007.778897,1047.633357,,
28,phase_2,,11,block5_phase_2_t11,0.466873,1007.795901,1047.650263,,
29,phase_2,,11,block5_phase_2_t11,0.483084,1007.812091,1047.666473,,
30,phase_2,,11,block5_phase_2_t11,0.500016,1007.828991,1047.683405,,
31,phase_2,,11,block5_phase_2_t11,0.516572,1007.845462,1047.699962,,
32,phase_2,,11,block5_phase_2_t11,0.53435,1007.86339,1047.71774,,
33,phase_2,,11,block5_phase_2_t11,0.550473,1007.87951,1047.733863,,
34,phase_2,,11,block5_phase_2_t11,0.567506,1007.896564,1047.750896,,
35,phase_2,,11,block5_phase_2_t11,0.584411,1007.913439,1047.7678,,
36,phase_2,,11,block5_phase_2_t11,0.600043,1007.92895,1047.783433,,
37,phase_2,,11,block5_phase_2_t11,0.616833,1007.945737,1047.800223,,
38,phase_2,,11,block5_phase_2_t11,0.634188,1007.963271,1047.817578,,
39,phase_2,,11,block5_phase_2_t11,0.65041,1007.979287,1047.8338,,
40,phase_2,,11,block5_phase_2_t11,0.667111,1007.996059,1047.8505,,
41,phase_2,,11,block5_phase_2_t11,0.683366,1008.012241,1047.866756,,
42,phase_2,,11,block5_phase_2_t11,0.699722,1008.02851,1047.883111,,
43,phase_2,,11,block5_phase_2_t11,0.716423,1008.045197,1047.899812,,
44,phase_2,,11,block5_phase_2_t11,0.733007,1008.061852,1047.916397,,
45,phase_2,,11,block5_phase_2_t11,0.749712,1008.078683,1047.933101,,
46,phase_2,,11,block5_phase_2_t11,0.766307,1008.09514,1047.949697,,
47,phase_2,,11,block5_phase_2_t11,0.783017,1008.112233,1047.966407,,
48,phase_2,,11,block5_phase_2_t11,0.7999,1008.128779,1047.98329,,
49,phase_2,,11,block5_phase_2_t11,0.81666,1008.145448,1048.000049,,
50,phase_2,,11,block5_phase_2_t11,0.833175,1008.162317,1048.016565,,
51,phase_2,,11,block5_phase_2_t11,0.849713,1008.178637,1048.033103,,
52,phase_2,,11,block5_phase_2_t11,0.866318,1008.195158,1048.049708,,
53,phase_2,,11,block5_phase_2_t11,0.883002,1008.211829,1048.066392,,
54,phase_2,,11,block5_phase_2_t11,0.899639,1008.228493,1048.083029,,
55,phase_2,,11,block5_phase_2_t11,0.916284,1008.245326,1048.099674,,
56,phase_2,,11,block5_phase_2_t11,0.932999,1008.261838,1048.116389,,
57,phase_2,,11,block5_phase_2_t11,0.949655,1008.278518,1048.133045,,
58,phase_2,,11,block5_phase_2_t11,0.966272,1008.295199,1048.149662,,
59,phase_2,,11,block5_phase_2_t11,0.98305,1008.31189,1048.166439,,
60,phase_2,,11,block5_phase_2_t11,0.999655,1008.328529,1048.183045,,
61,phase_2,,11,block5_phase_2_t11,1.016523,1008.345414,1048.199912,,
62,phase_2,,11,block5_phase_2_t11,1.033051,1008.361959,1048.216441,,
63,phase_2,,11,block5_phase_2_t11,1.04979,1008.3788,1048.23318,,
64,phase_2,,11,block5_phase_2_t11,1.066385,1008.395249,1048.249775,,
65,phase_2,,11,block5_phase_2_t11,1.082932,1008.411713,1048.266322,,
0,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.0,1008.43323,1048.286172,DOMAIN_ONSET_onset,
1,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.013547,1008.44521,1048.299719,,
2,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.030133,1008.461816,1048.316305,,
3,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.046993,1008.47864,1048.333165,,
4,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.063633,1008.495299,1048.349805,,
5,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.080289,1008.512132,1048.366462,,
6,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.097004,1008.528735,1048.383176,,
7,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.113547,1008.545179,1048.399719,,
8,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.130413,1008.563142,1048.416585,,
9,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.146895,1008.57853,1048.433067,,
10,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.163535,1008.595215,1048.449707,,
11,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.180198,1008.611894,1048.46637,,
12,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.196811,1008.628564,1048.482983,,
13,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.21356,1008.645211,1048.499733,,
14,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.230216,1008.661825,1048.516388,,
15,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.246893,1008.678488,1048.533066,,
16,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.263605,1008.695313,1048.549777,,
17,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.280165,1008.711807,1048.566337,,
18,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.296932,1008.728559,1048.583104,,
19,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.313504,1008.745126,1048.599677,,
20,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.330269,1008.76194,1048.616441,,
21,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.346921,1008.778504,1048.633093,,
22,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.363624,1008.795219,1048.649796,,
23,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.38041,1008.812015,1048.666582,,
24,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.396907,1008.828676,1048.68308,,
25,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.413628,1008.845256,1048.6998,,
26,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.430268,1008.861843,1048.71644,,
27,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.446917,1008.878594,1048.733089,,
28,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.463546,1008.895248,1048.749718,,
29,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.480227,1008.911896,1048.766399,,
30,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.496933,1008.928688,1048.783105,,
31,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.513724,1008.945385,1048.799896,,
32,phase_2,DOMAIN_ONSET,11,block5_phase_2_t11,0.530648,1008.962274,1048.81682,,
