frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
0,phase_2,,10,block5_phase_2_t10,0.0,999.247342,1039.101344,iti_onset_dur_1.111,
1,phase_2,,10,block5_phase_2_t10,0.015623,999.262823,1039.116968,,
2,phase_2,,10,block5_phase_2_t10,0.032249,999.279061,1039.133593,,
3,phase_2,,10,block5_phase_2_t10,0.048654,999.295457,1039.149999,,
4,phase_2,,10,block5_phase_2_t10,0.065261,999.312061,1039.166605,,
5,phase_2,,10,block5_phase_2_t10,0.081896,999.328798,1039.18324,,
6,phase_2,,10,block5_phase_2_t10,0.098637,999.345476,1039.199981,,
7,phase_2,,10,block5_phase_2_t10,0.115373,999.362294,1039.216718,,
8,phase_2,,10,block5_phase_2_t10,0.132169,999.379442,1039.233514,,
9,phase_2,,10,block5_phase_2_t10,0.148633,999.395463,1039.249977,,
10,phase_2,,10,block5_phase_2_t10,0.165245,999.412141,1039.26659,,
11,phase_2,,10,block5_phase_2_t10,0.182146,999.428934,1039.28349,,
12,phase_2,,10,block5_phase_2_t10,0.198683,999.445526,1039.300027,,
13,phase_2,,10,block5_phase_2_t10,0.215354,999.462157,1039.316699,,
14,phase_2,,10,block5_phase_2_t10,0.231975,999.478777,1039.33332,,
15,phase_2,,10,block5_phase_2_t10,0.24879,999.495656,1039.350134,,
16,phase_2,,10,block5_phase_2_t10,0.265472,999.512318,1039.366817,,
17,phase_2,,10,block5_phase_2_t10,0.281939,999.528709,1039.383284,,
18,phase_2,,10,block5_phase_2_t10,0.298935,999.545796,1039.400279,,
19,phase_2,,10,block5_phase_2_t10,0.315282,999.562074,1039.416626,,
20,phase_2,,10,block5_phase_2_t10,0.332213,999.57896,1039.433557,,
21,phase_2,,10,block5_phase_2_t10,0.348857,999.595748,1039.450201,,
22,phase_2,,10,block5_phase_2_t10,0.365932,999.613089,1039.467276,,
23,phase_2,,10,block5_phase_2_t10,0.381912,999.628925,1039.483257,,
24,phase_2,,10,block5_phase_2_t10,0.398681,999.645482,1039.500026,,
25,phase_2,,10,block5_phase_2_t10,0.415254,999.662124,1039.516598,,
26,phase_2,,10,block5_phase_2_t10,0.431965,999.678766,1039.533309,,
27,phase_2,,10,block5_phase_2_t10,0.448746,999.695701,1039.55009,,
28,phase_2,,10,block5_phase_2_t10,0.465423,999.712216,1039.566768,,
29,phase_2,,10,block5_phase_2_t10,0.482081,999.72932,1039.583426,,
30,phase_2,,10,block5_phase_2_t10,0.498633,999.745519,1039.599977,,
31,phase_2,,10,block5_phase_2_t10,0.515425,999.762267,1039.61677,,
32,phase_2,,10,block5_phase_2_t10,0.532058,999.778849,1039.633402,,
33,phase_2,,10,block5_phase_2_t10,0.548592,999.795441,1039.649937,,
34,phase_2,,10,block5_phase_2_t10,0.565253,999.811978,1039.666597,,
35,phase_2,,10,block5_phase_2_t10,0.581946,999.828928,1039.683291,,
36,phase_2,,10,block5_phase_2_t10,0.598502,999.845447,1039.699847,,
37,phase_2,,10,block5_phase_2_t10,0.615256,999.862105,1039.7166,,
