id, char_ani, animal, img_file, cooking, repairing
1,A,duck,duck.png,1,2
2,B,frog,frog.png,3,2
3,C,panda,panda.png,2,3
4,D,rabbit,rabbit.png,2,2
5,A,bear,bear.png,1,2
6,B,cat,cat.png,3,2
7,C,chicken,chicken.png,2,3
8,D,cow,cow.png,2,2
9,A,horse,horse.png,1,2
10,B,koala,koala.png,3,2
11,C,lion,lion.png,2,3
12,D,tiger,tiger.png,2,2
13,A,deer,deer.png,1,2
14,B,dog,dog.png,3,2
15,C,elephant,elephant.png,2,3
16,D,fish,fish.png,2,2
17,A,fox,fox.png,1,2
18,B,hippo,hippo.png,3,2
19,C,kappa,kappa.png,2,3
20,D,mouse,mouse.png,2,2
21,A,otter,otter.png,1,2
22,B,seal,seal.png,3,2
23,C,sealion,sealion.png,2,3
24,D,sheep,sheep.png,2,2
