id,char_ani,animal,img_file,cooking,repairing,tennis
1,A,duck,duck.png,8.5,4.6,1.9
2,B,frog,frog.png,4.8,8.2,2.0
3,C,panda,panda.png,2.2,5.1,7.7
4,D,rabbit,rabbit.png,7.5,2.1,5.4
5,A,bear,bear.png,8.5,4.6,1.9
6,B,cat,cat.png,4.8,8.2,2.0
7,C,chicken,chicken.png,2.2,5.1,7.7
8,D,cow,cow.png,7.5,2.1,5.4
9,A,horse,horse.png,8.5,4.6,1.9
10,B,koala,koala.png,4.8,8.2,2.0
11,C,lion,lion.png,2.2,5.1,7.7
12,D,tiger,tiger.png,7.5,2.1,5.4
13,A,deer,deer.png,8.5,4.6,1.9
14,B,dog,dog.png,4.8,8.2,2.0
15,C,elephant,elephant.png,2.2,5.1,7.7
16,D,fish,fish.png,7.5,2.1,5.4
17,A,fox,fox.png,8.5,4.6,1.9
18,B,hippo,hippo.png,4.8,8.2,2.0
19,C,kappa,kappa.png,2.2,5.1,7.7
20,D,mouse,mouse.png,7.5,2.1,5.4
21,A,otter,otter.png,8.5,4.6,1.9
22,B,seal,seal.png,4.8,8.2,2.0
23,C,sealion,sealion.png,2.2,5.1,7.7
24,D,sheep,sheep.png,7.5,2.1,5.4
